condition,trial,beta,g,alpha,delay_ms,phi_final,phi_mean,phi_max,stability
Controle,84,0.8336245998337495,1.7623833711664791,4.331667645160277e-12,99.98266216782592,2.3167568193867298e-10,1.2085801057946921e-08,4.2805617765746094e-08,0.9999999855099946
Controle,85,0.7493947828139158,1.7442027060009089,4.025275370583924e-12,92.3028784515979,9.974744554266355e-11,7.970594863825728e-09,3.47025009681556e-08,0.9999999888340804
Controle,86,0.770083833961309,1.6513601010527545,4.425095448590565e-12,99.2132318886746,9.169331632046548e-10,1.6307537506191873e-08,4.0714761171286074e-08,0.9999999857450981
Controle,87,0.7654397715780392,1.6275244006693024,4.362190468423583e-12,90.429065736685,3.936962135199509e-09,1.7235253235541727e-08,3.9271986111940895e-08,0.9999999908445664
Controle,88,0.7392569247561733,1.658159011895095,3.991440416949522e-12,103.15283902208203,7.253367785564596e-10,1.2651023150234579e-08,3.744114577943512e-08,0.9999999893177575
Controle,89,0.7670497576680705,1.638623638551345,3.9304564542406446e-12,102.18884113333455,3.5499575612417386e-09,1.5795634772090043e-08,3.9206726862922796e-08,0.9999999905729023
Controle,90,0.8817574534846216,1.7295529450834861,3.9373005464578855e-12,106.55147387015388,2.453949597479631e-10,8.630889142063458e-09,4.3052142811722353e-08,0.999999987311068
Controle,91,0.760025011635659,1.8557255656506764,4.532606102209366e-12,99.39995549339793,1.5698413688612139e-10,8.053825436128296e-09,3.9922142548885824e-08,0.9999999879701836
Controle,92,0.881106910689521,1.7490598471929337,4.149147110411161e-12,97.47617279019072,3.3447262905723417e-09,2.040175450573189e-08,3.7153647338873166e-08,0.999999989283059
Controle,93,0.8132520111318875,1.8771120142645419,4.1008271363608854e-12,105.44567798132395,8.376126199380452e-09,1.263607776009251e-08,3.112567231057307e-08,0.99999999182483
Controle,94,0.778479068800129,1.8430216904705097,4.21498414348332e-12,98.52803911322813,7.536380823795742e-11,7.923566791955228e-09,4.4447964132431593e-08,0.9999999867778031
Controle,95,0.8079201584994787,1.8606196527498566,4.562124847632495e-12,103.47585608326271,1.995508793976522e-10,1.3363498034621382e-08,5.0798745145512933e-08,0.9999999820107753
Controle,96,0.8321318956248656,1.699410540702589,4.561703234946245e-12,99.37533607901516,1.8416557907331948e-09,1.0368503104843174e-08,4.108024263160602e-08,0.9999999890174774
Controle,97,0.8740790959962006,1.794274091935273,3.995899507915976e-12,98.465735917146,8.972066144932884e-11,7.583925707278529e-09,4.1034480685949703e-08,0.9999999876452711
Controle,98,0.8672098520424588,1.7938810781254977,4.045165827970203e-12,98.42613569447984,1.0510714874346908e-09,1.0374682168143928e-08,3.4781350031529e-08,0.9999999898782329
Controle,99,0.8711763351780651,1.890804214584167,4.508576577150587e-12,100.55651934078737,2.1668349660402972e-09,1.4374039653377888e-08,3.809242364183732e-08,0.999999989654556
TDAH,0,0.43096663702138305,1.8062428257006906,8.547483046088122e-12,111.71853604165915,2.90356948306546e-10,1.2851868781941393e-08,4.199085957619577e-08,0.9999999865884197
TDAH,1,0.3974807370594729,1.746566972381589,8.364246015269905e-12,106.18001831869417,8.14317652583779e-11,8.64695696171254e-09,3.741502615755501e-08,0.9999999878853617
TDAH,2,0.43336378682484156,1.7777603369406172,7.174441281401726e-12,113.37867142755408,1.6385305335087534e-10,1.2283089958677093e-08,3.921133892775673e-08,0.9999999853004478
TDAH,3,0.41365285932405227,1.7277124500236902,7.800844336946907e-12,107.9049396873283,6.119967806766668e-11,9.46349699103357e-09,4.180467627020032e-08,0.9999999859849149
TDAH,4,0.4258857863206638,1.883645752015399,8.476844123860298e-12,109.88948453343502,2.86062043042326e-10,1.2759493483155797e-08,4.104804488806696e-08,0.9999999863975138
TDAH,5,0.4508623089013594,1.850179414099383,8.575209188479458e-12,105.41577228516923,1.8738764494028613e-10,8.367734785876744e-09,3.774790091396858e-08,0.9999999884675014
TDAH,6,0.4628309363693144,1.6664523172510326,8.36028123857943e-12,115.96075213282931,2.72776985082558e-09,1.498481992187295e-08,3.80956512888592e-08,0.9999999907594018
TDAH,7,0.3891176740452169,1.791111367398734,7.283451620716999e-12,115.8773557461633,3.418590885862848e-10,1.012605644637331e-08,4.090298991865688e-08,0.9999999875782236
TDAH,8,0.40489364759753727,1.7625498067220113,8.068713449699853e-12,102.427153707205,2.517666405903362e-10,8.635984013843668e-09,3.8548776333693604e-08,0.9999999884441274
TDAH,9,0.46233945834446916,1.593222894575966,8.1458017617356e-12,122.14922983884499,1.0605444539911614e-10,7.194849603573811e-09,3.6604872116796984e-08,0.9999999891120578
TDAH,10,0.38302227957300705,1.7714552561195513,7.888746248129282e-12,116.23449513880642,5.204500819128618e-10,9.825236740733716e-09,3.419223592020015e-08,0.9999999885916698
TDAH,11,0.4355660161058016,1.7944026135396776,7.0441644409463086e-12,100.03173045191994,4.325185583342013e-10,8.956621239923674e-09,3.5643577442395355e-08,0.9999999898971009
TDAH,12,0.4634432394260966,1.5843724567686122,7.759410961418362e-12,113.58299063450804,1.3752853283321625e-09,1.221135996916795e-08,3.8944251642374486e-08,0.9999999891069032
TDAH,13,0.41053266750627776,1.6846607294350633,8.054188372798018e-12,107.95435614396654,4.735841960380951e-11,9.357385319806364e-09,3.723102679850528e-08,0.9999999864270599
TDAH,14,0.3999126503503914,1.6962380983599954,7.817860894517275e-12,120.00416957093286,2.4465474232642174e-10,9.436148955442952e-09,3.595104443000902e-08,0.9999999888558991
TDAH,15,0.38522835499819863,1.8550746878932671,8.080955801685349e-12,116.6599857672098,5.4675173342554805e-11,8.564827056243064e-09,3.1982703930165245e-08,0.9999999878717062
TDAH,16,0.4116927168128163,1.6120777708889729,7.64340600360385e-12,114.42995618029624,8.596821768128455e-10,1.0568318304727142e-08,3.904732677544055e-08,0.9999999892717318
TDAH,17,0.4426470904498045,1.6918532101838335,8.184808009755994e-12,105.84376375647415,5.990801558521246e-10,1.6241887152024627e-08,4.7614505918305685e-08,0.9999999831663461
TDAH,18,0.40591166022001013,1.573506571113477,7.560161284934684e-12,104.3951209655055,1.0196974071156828e-10,7.372215398871748e-09,3.809245735468098e-08,0.9999999883998708
TDAH,19,0.45105304979823496,1.7979521552000757,7.317371767798182e-12,109.11398887226429,1.7503500793311189e-10,1.1240699314894694e-08,4.196498209573638e-08,0.9999999856900359
TDAH,20,0.4177419063923282,1.7485061523387755,7.68370804242558e-12,106.08063134210427,9.149851237519992e-11,8.463783601020737e-09,4.1071827147209e-08,0.9999999878348323
TDAH,21,0.43009221067049347,1.7940365884732974,8.083259864537923e-12,121.47076522981844,5.819766747207039e-09,1.233806158399343e-08,3.6370093459582204e-08,0.9999999910295162
TDAH,22,0.41154849658302584,1.8492283982069553,8.133160707295176e-12,113.65384901737116,2.5348401786026486e-10,1.1637923776432554e-08,4.199414917067409e-08,0.9999999869057921
TDAH,23,0.4439802673198249,1.6759928173158292,8.07629295335288e-12,114.03376449455473,2.7819210864811715e-10,9.292467015387553e-09,3.6237474326434276e-08,0.9999999892110462
TDAH,24,0.39896391449319646,1.6582747833971927,7.29213732405711e-12,115.725700802007,6.909132271057052e-11,7.723008861901964e-09,3.5549392799859335e-08,0.9999999883682796
